Age_Group,Income_Level,Nationality,Luxury_Interest,Shopping_Frequency,Preferred_Category,Color_Preference,Digital_Engagement,Influenced_By_AI,Max_Spend,Will_Buy
26-35,Medium,Emirati,Medium,Rare,Jewelry,Black,High,Yes,11224,Yes
46+,High,Emirati,Medium,Rare,Watches,Black,Low,Yes,42724,Yes
26-35,High,Emirati,Low,Rare,Automobiles,White,Medium,No,6465,No
46+,Low,Expat - Indian,Low,Rare,Automobiles,Silver,High,Yes,17882,No
26-35,Medium,Expat - Indian,High,Frequent,Watches,Black,High,No,33203,No
46+,Low,Other,High,Rare,Watches,White,High,No,28944,No
46+,High,Emirati,High,Occasional,Jewelry,White,Low,Yes,30837,Yes
18-25,Medium,Expat - Western,Low,Rare,Real Estate,White,Low,No,3944,No
18-25,Ultra High,Other,High,Occasional,Watches,Silver,Low,Yes,25336,Yes
46+,Low,Emirati,Medium,Rare,Real Estate,Black,High,No,39624,No
46+,Low,Emirati,Medium,Frequent,Fashion,Silver,Medium,No,45764,No
36-45,Low,Expat - Indian,Medium,Rare,Automobiles,Gold,High,Yes,32796,Yes
26-35,Low,Other,Low,Rare,Jewelry,Black,Medium,No,29789,No
36-45,Low,Emirati,High,Frequent,Automobiles,Silver,High,Yes,46420,No
18-25,Ultra High,Emirati,Medium,Rare,Jewelry,Black,Medium,Yes,25222,No
18-25,Low,Other,Low,Occasional,Fashion,Gold,High,No,39845,No
18-25,Low,Expat - Western,Low,Rare,Automobiles,Bold Colors,High,Yes,1135,No
18-25,High,Other,Low,Rare,Fashion,White,Medium,Yes,16773,No
46+,Medium,Other,Low,Rare,Jewelry,Silver,Medium,Yes,43060,No
18-25,High,Expat - Western,Medium,Frequent,Watches,Gold,Medium,No,27447,No
46+,Low,Other,High,Rare,Automobiles,Gold,Medium,Yes,5033,No
46+,Medium,Emirati,Low,Rare,Fashion,Black,Medium,No,21497,No
18-25,Low,Other,Low,Occasional,Automobiles,Black,Medium,Yes,15178,No
18-25,Low,Expat - Western,Medium,Rare,Automobiles,White,Medium,Yes,7546,No
26-35,Ultra High,Expat - Arab,High,Rare,Automobiles,Black,Medium,No,9396,No
36-45,Low,Other,Medium,Rare,Real Estate,Silver,High,Yes,21978,No
18-25,Medium,Expat - Indian,Medium,Rare,Fashion,Silver,Medium,No,44331,No
26-35,Medium,Emirati,Medium,Occasional,Fashion,Silver,Medium,Yes,13882,No
26-35,Medium,Emirati,Medium,Occasional,Automobiles,Bold Colors,High,Yes,17945,No
36-45,High,Expat - Indian,Low,Frequent,Watches,Silver,High,Yes,22784,No
46+,Low,Expat - Indian,High,Rare,Automobiles,Black,Low,No,4314,No
18-25,Medium,Other,Medium,Frequent,Real Estate,Black,Low,Yes,19595,No
36-45,Ultra High,Expat - Indian,Medium,Frequent,Jewelry,Silver,Medium,No,19755,No
18-25,Medium,Expat - Arab,High,Rare,Real Estate,Gold,Medium,Yes,33311,No
26-35,Ultra High,Expat - Western,Medium,Occasional,Watches,Gold,Low,Yes,46695,No
26-35,Low,Expat - Indian,Medium,Occasional,Automobiles,Gold,Low,Yes,31598,No
46+,Medium,Expat - Indian,Medium,Rare,Fashion,White,Medium,No,36449,No
26-35,Low,Expat - Arab,Low,Rare,Automobiles,Bold Colors,Low,No,36574,No
26-35,High,Emirati,Low,Occasional,Watches,Silver,Medium,No,45729,No
36-45,Ultra High,Emirati,Medium,Rare,Fashion,White,High,Yes,19639,No
18-25,Low,Other,High,Rare,Real Estate,Gold,High,Yes,46370,No
18-25,Medium,Expat - Arab,High,Rare,Jewelry,Silver,Low,Yes,32023,No
36-45,Low,Expat - Western,Medium,Occasional,Jewelry,White,High,No,10092,No
46+,Medium,Expat - Western,Low,Frequent,Automobiles,Black,High,Yes,7382,No
18-25,Medium,Expat - Arab,Low,Frequent,Real Estate,Gold,High,Yes,43710,No
26-35,Ultra High,Expat - Western,High,Rare,Watches,White,High,Yes,4159,No
18-25,Medium,Emirati,Medium,Occasional,Jewelry,Black,Medium,Yes,6656,No
26-35,Medium,Expat - Western,Medium,Rare,Real Estate,Gold,Medium,Yes,2452,No
46+,Low,Expat - Western,High,Occasional,Automobiles,Bold Colors,Low,No,43203,No
36-45,Low,Expat - Arab,High,Rare,Fashion,Gold,High,Yes,19706,No
18-25,Low,Expat - Arab,High,Occasional,Automobiles,Bold Colors,High,No,10862,No
36-45,Low,Expat - Western,Low,Occasional,Automobiles,Bold Colors,High,No,11219,Yes
18-25,High,Expat - Indian,High,Frequent,Real Estate,Bold Colors,Low,Yes,24481,Yes
26-35,Medium,Expat - Arab,High,Rare,Jewelry,Silver,Medium,Yes,35536,No
36-45,Medium,Other,Medium,Frequent,Real Estate,Silver,High,Yes,7096,No
18-25,Low,Other,Medium,Frequent,Fashion,Bold Colors,Medium,No,38953,Yes
26-35,High,Emirati,Medium,Occasional,Real Estate,Black,Low,Yes,12855,No
36-45,High,Expat - Western,High,Rare,Watches,Bold Colors,Medium,Yes,44262,Yes
36-45,Low,Expat - Indian,Low,Occasional,Automobiles,White,High,Yes,15460,No
18-25,High,Emirati,Medium,Occasional,Jewelry,Bold Colors,Medium,Yes,34937,Yes
18-25,Medium,Expat - Western,Low,Occasional,Fashion,Silver,Medium,Yes,22094,No
18-25,Low,Expat - Arab,High,Rare,Automobiles,Silver,Low,Yes,40358,No
26-35,Medium,Other,Low,Rare,Real Estate,White,Low,No,28924,No
18-25,Medium,Expat - Indian,Medium,Occasional,Watches,White,Low,No,18789,No
36-45,Low,Other,Medium,Rare,Real Estate,Gold,Low,Yes,1123,No
36-45,Ultra High,Expat - Arab,High,Occasional,Automobiles,Black,Medium,Yes,49394,Yes
18-25,High,Expat - Western,Medium,Rare,Fashion,Black,Medium,No,6909,No
18-25,Medium,Expat - Arab,Low,Rare,Jewelry,Black,Low,Yes,32854,No
46+,Medium,Expat - Arab,High,Frequent,Automobiles,Silver,Low,No,4896,No
36-45,Medium,Other,Medium,Occasional,Fashion,Black,High,Yes,41834,Yes
26-35,Medium,Expat - Indian,High,Frequent,Automobiles,Gold,High,No,43141,No
46+,Medium,Expat - Arab,Low,Frequent,Watches,Gold,Low,Yes,18111,Yes
18-25,Low,Other,Medium,Occasional,Real Estate,Black,Medium,Yes,8039,No
18-25,Medium,Expat - Indian,Medium,Occasional,Jewelry,White,Low,No,45844,No
36-45,High,Expat - Western,Low,Rare,Fashion,Gold,Medium,Yes,25099,No
18-25,Medium,Expat - Western,Medium,Occasional,Jewelry,White,Medium,Yes,4670,No
26-35,Low,Emirati,Medium,Frequent,Jewelry,Silver,High,Yes,44335,No
36-45,High,Other,High,Frequent,Jewelry,Gold,Low,No,16029,No
18-25,Low,Expat - Indian,Medium,Occasional,Fashion,White,Low,Yes,32811,No
36-45,Low,Expat - Arab,Medium,Frequent,Fashion,Black,Medium,No,16793,Yes
18-25,Low,Expat - Western,Medium,Rare,Jewelry,Silver,Low,Yes,42318,No
18-25,Medium,Expat - Indian,High,Frequent,Real Estate,Bold Colors,High,Yes,49106,No
18-25,High,Other,Medium,Rare,Automobiles,Bold Colors,High,No,21126,No
26-35,Medium,Emirati,Medium,Frequent,Jewelry,Black,Low,Yes,20228,No
26-35,Low,Expat - Western,Medium,Rare,Watches,Silver,Low,Yes,19595,No
36-45,High,Expat - Indian,Medium,Rare,Jewelry,Silver,High,Yes,1972,No
18-25,High,Expat - Indian,Medium,Occasional,Fashion,Silver,Low,Yes,1360,No
18-25,High,Expat - Indian,High,Rare,Automobiles,Silver,Medium,No,3632,No
26-35,Low,Other,Medium,Occasional,Watches,Bold Colors,Low,Yes,36958,No
18-25,Medium,Other,High,Frequent,Automobiles,White,Medium,Yes,38716,No
26-35,Ultra High,Other,Low,Frequent,Automobiles,Silver,Low,Yes,16346,No
18-25,High,Expat - Arab,Medium,Frequent,Watches,White,Low,Yes,49322,Yes
36-45,Low,Expat - Indian,High,Rare,Jewelry,Silver,High,Yes,19008,No
18-25,Low,Expat - Western,Low,Frequent,Jewelry,Gold,Medium,No,13120,No
18-25,Medium,Other,High,Frequent,Jewelry,Gold,High,No,31283,No
46+,Ultra High,Other,Medium,Occasional,Real Estate,Gold,Low,Yes,8818,No
26-35,Medium,Expat - Indian,High,Occasional,Jewelry,Silver,High,Yes,6119,No
18-25,Medium,Other,Medium,Frequent,Watches,White,Low,No,31579,No
18-25,Low,Expat - Arab,Medium,Frequent,Real Estate,Bold Colors,Low,Yes,46721,No
46+,Medium,Expat - Arab,Low,Rare,Jewelry,Black,Low,Yes,48668,No
46+,High,Other,Medium,Rare,Real Estate,Bold Colors,Medium,No,30837,No
26-35,Medium,Expat - Indian,Low,Frequent,Watches,Silver,Medium,Yes,1975,No
46+,High,Expat - Indian,Low,Occasional,Jewelry,Gold,Medium,Yes,17265,No
36-45,Ultra High,Expat - Indian,Low,Frequent,Fashion,Gold,High,No,5318,No
46+,Low,Emirati,Medium,Rare,Watches,White,Low,No,36081,No
36-45,Medium,Other,High,Occasional,Automobiles,Silver,High,Yes,42515,No
26-35,Low,Expat - Indian,Low,Occasional,Automobiles,Bold Colors,High,Yes,44069,No
26-35,High,Expat - Arab,Low,Rare,Watches,Silver,Low,Yes,48816,No
26-35,Medium,Expat - Western,Medium,Frequent,Automobiles,Silver,High,No,14134,No
26-35,Medium,Expat - Western,Low,Frequent,Watches,Gold,Low,Yes,40432,No
26-35,High,Expat - Indian,Low,Frequent,Fashion,Bold Colors,Low,Yes,47150,No
36-45,Medium,Expat - Western,Low,Rare,Watches,Black,Low,No,11841,No
36-45,Ultra High,Expat - Western,High,Occasional,Jewelry,Gold,Low,Yes,27135,Yes
26-35,Medium,Emirati,High,Rare,Jewelry,Bold Colors,High,Yes,13427,No
46+,Low,Expat - Arab,Medium,Frequent,Real Estate,White,High,Yes,41251,No
18-25,Medium,Expat - Arab,Medium,Rare,Automobiles,Gold,High,Yes,35131,No
26-35,High,Emirati,Medium,Occasional,Automobiles,White,Medium,Yes,37727,No
46+,Medium,Emirati,Medium,Rare,Watches,Gold,High,No,26165,No
18-25,High,Expat - Western,Medium,Frequent,Automobiles,Silver,High,No,2749,No
26-35,Ultra High,Other,Medium,Occasional,Jewelry,Bold Colors,Medium,Yes,34308,No
26-35,Low,Expat - Western,Medium,Rare,Fashion,White,Low,Yes,8634,No
36-45,Ultra High,Emirati,Low,Rare,Watches,Gold,Low,Yes,11614,No
18-25,Low,Expat - Arab,Medium,Occasional,Automobiles,White,Low,Yes,25866,No
18-25,Low,Expat - Western,High,Occasional,Jewelry,Gold,Medium,Yes,11282,No
46+,Low,Other,Medium,Frequent,Real Estate,Gold,High,No,21319,No
36-45,High,Expat - Western,High,Occasional,Automobiles,Black,High,Yes,37726,No
36-45,Medium,Expat - Indian,High,Frequent,Fashion,Black,High,Yes,16412,No
36-45,Low,Expat - Western,Low,Rare,Fashion,Black,High,Yes,37627,No
36-45,Medium,Emirati,Medium,Frequent,Automobiles,White,Medium,Yes,9050,Yes
18-25,Medium,Expat - Arab,Medium,Rare,Automobiles,Silver,High,Yes,25583,Yes
18-25,Low,Expat - Arab,High,Occasional,Jewelry,Gold,Low,Yes,19041,No
26-35,High,Emirati,High,Rare,Automobiles,Bold Colors,Medium,Yes,7185,Yes
26-35,High,Expat - Indian,Medium,Occasional,Real Estate,Black,Medium,No,21812,No
36-45,Medium,Emirati,Medium,Rare,Jewelry,White,Low,Yes,26832,No
36-45,Ultra High,Expat - Western,High,Rare,Watches,White,Low,Yes,18423,Yes
36-45,Medium,Emirati,Low,Rare,Real Estate,White,High,Yes,48156,No
26-35,Ultra High,Emirati,High,Rare,Jewelry,Bold Colors,Low,No,42644,No
46+,Medium,Expat - Indian,High,Frequent,Jewelry,Bold Colors,Medium,Yes,37786,No
46+,Medium,Expat - Western,Medium,Rare,Fashion,Black,Medium,Yes,30665,No
26-35,Low,Other,Medium,Frequent,Jewelry,Bold Colors,Medium,Yes,10989,No
26-35,High,Other,Medium,Occasional,Real Estate,Black,High,No,19208,No
26-35,Medium,Expat - Arab,Medium,Occasional,Automobiles,Bold Colors,High,Yes,24054,No
26-35,Low,Emirati,Medium,Frequent,Real Estate,Bold Colors,Low,Yes,31477,No
26-35,Low,Expat - Arab,High,Occasional,Watches,Bold Colors,High,Yes,31374,No
26-35,Medium,Expat - Indian,High,Occasional,Jewelry,Black,High,Yes,42220,No
36-45,Medium,Other,High,Rare,Jewelry,Gold,Medium,Yes,4571,No
36-45,High,Emirati,Low,Rare,Jewelry,Black,Medium,Yes,20576,No
36-45,High,Expat - Indian,High,Rare,Jewelry,Gold,Low,No,10680,No
36-45,Low,Expat - Indian,High,Frequent,Fashion,White,Medium,No,26706,No
26-35,High,Emirati,Medium,Frequent,Fashion,White,High,Yes,15318,No
46+,Low,Expat - Indian,Low,Occasional,Automobiles,Black,Low,Yes,21659,No
18-25,High,Emirati,Medium,Rare,Jewelry,Gold,Low,Yes,6029,No
26-35,High,Emirati,High,Frequent,Watches,Gold,Medium,Yes,49436,No
18-25,Medium,Expat - Western,Medium,Frequent,Automobiles,Gold,Medium,No,3774,No
46+,High,Expat - Arab,High,Rare,Jewelry,White,Medium,No,17972,No
36-45,Medium,Expat - Indian,Medium,Frequent,Fashion,Black,Low,Yes,15048,Yes
46+,Medium,Expat - Indian,High,Rare,Watches,Silver,Medium,Yes,34372,No
26-35,High,Expat - Western,Low,Occasional,Automobiles,Gold,High,Yes,44188,No
36-45,Medium,Expat - Western,Medium,Occasional,Watches,Gold,Low,No,42133,No
26-35,Medium,Expat - Western,Medium,Occasional,Jewelry,Silver,Medium,No,15689,No
36-45,Medium,Other,Low,Rare,Real Estate,Black,High,No,17737,No
18-25,High,Other,High,Frequent,Watches,Gold,High,No,17014,No
18-25,Medium,Other,Medium,Occasional,Watches,Black,Medium,Yes,22818,No
18-25,Low,Emirati,Medium,Occasional,Fashion,Gold,High,No,34201,No
46+,High,Expat - Indian,Medium,Occasional,Jewelry,Bold Colors,Low,No,12144,No
26-35,High,Expat - Arab,Medium,Frequent,Watches,Gold,Low,Yes,32001,No
46+,Low,Emirati,Low,Frequent,Jewelry,Bold Colors,High,Yes,1867,No
18-25,Low,Expat - Indian,Low,Rare,Fashion,Black,Low,No,28182,Yes
26-35,Low,Expat - Indian,High,Occasional,Jewelry,Gold,Medium,Yes,15340,No
18-25,Medium,Expat - Western,Medium,Frequent,Fashion,White,High,No,12837,No
46+,Medium,Expat - Western,High,Rare,Fashion,White,Low,No,48059,No
46+,High,Emirati,High,Occasional,Automobiles,Silver,Medium,No,9787,No
46+,Medium,Expat - Western,Medium,Frequent,Jewelry,White,Medium,No,1393,No
18-25,Medium,Expat - Indian,Medium,Frequent,Real Estate,Bold Colors,Low,Yes,13056,No
26-35,Medium,Expat - Western,Medium,Rare,Automobiles,White,High,No,44160,Yes
26-35,High,Other,High,Occasional,Fashion,White,Medium,Yes,45957,Yes
18-25,Medium,Expat - Western,High,Occasional,Real Estate,White,Medium,Yes,29429,No
26-35,Ultra High,Expat - Indian,Medium,Frequent,Watches,Gold,Medium,Yes,46909,No
18-25,Medium,Emirati,High,Occasional,Watches,Silver,Medium,Yes,32899,No
26-35,Low,Expat - Arab,Low,Rare,Automobiles,Black,High,Yes,33221,No
36-45,Medium,Expat - Western,High,Frequent,Real Estate,Silver,Low,No,21754,No
36-45,Medium,Expat - Indian,High,Frequent,Jewelry,Bold Colors,Low,Yes,45389,No
46+,Medium,Expat - Arab,Low,Rare,Real Estate,Gold,Low,Yes,21905,No
36-45,Low,Expat - Arab,Medium,Frequent,Automobiles,Gold,Medium,Yes,25083,No
36-45,Low,Other,Low,Occasional,Jewelry,White,High,Yes,42098,No
36-45,High,Expat - Arab,Medium,Occasional,Jewelry,White,Low,No,30621,No
18-25,Low,Expat - Indian,High,Frequent,Watches,Bold Colors,High,Yes,21577,No
36-45,High,Expat - Indian,Medium,Rare,Real Estate,Gold,Low,No,37728,No
36-45,Low,Expat - Western,Low,Rare,Jewelry,Black,Medium,No,1663,No
46+,Medium,Expat - Western,Medium,Occasional,Automobiles,Silver,Low,Yes,48301,No
36-45,Medium,Expat - Western,High,Rare,Watches,Gold,Medium,No,20216,No
36-45,Medium,Expat - Arab,Medium,Frequent,Jewelry,Black,Medium,Yes,48259,No
26-35,Medium,Expat - Arab,Medium,Frequent,Real Estate,Black,Low,Yes,10265,No
46+,Low,Other,Low,Occasional,Watches,Silver,High,No,5574,Yes
46+,Low,Expat - Western,High,Occasional,Real Estate,Black,Medium,No,23755,No
46+,Medium,Emirati,High,Occasional,Real Estate,Bold Colors,High,Yes,32241,No
46+,Medium,Other,Medium,Rare,Real Estate,Black,Low,Yes,23676,No
46+,Ultra High,Emirati,Low,Frequent,Watches,Bold Colors,Medium,Yes,22561,No
46+,High,Expat - Arab,Low,Frequent,Jewelry,Black,High,Yes,25737,No
18-25,High,Other,Low,Frequent,Fashion,White,Medium,No,24390,No
36-45,High,Other,Medium,Occasional,Jewelry,Black,Low,Yes,27076,No
46+,Medium,Expat - Indian,High,Frequent,Watches,Bold Colors,Medium,Yes,6546,No
36-45,Low,Expat - Arab,Medium,Rare,Fashion,Black,Low,No,22280,No
36-45,Ultra High,Expat - Arab,High,Rare,Fashion,Black,High,Yes,33953,Yes
18-25,Medium,Other,Medium,Frequent,Fashion,Black,Medium,Yes,22037,No
46+,Medium,Expat - Arab,High,Occasional,Automobiles,Bold Colors,High,No,41576,No
26-35,Low,Other,High,Frequent,Watches,Black,Low,No,29564,No
18-25,Medium,Expat - Indian,Low,Rare,Automobiles,Silver,Low,No,34597,No
26-35,Medium,Other,Medium,Rare,Fashion,Silver,High,Yes,20903,No
36-45,High,Expat - Arab,Medium,Rare,Automobiles,Bold Colors,High,No,31806,No
36-45,Medium,Expat - Arab,Low,Frequent,Automobiles,White,Low,Yes,47328,Yes
18-25,Medium,Other,Medium,Rare,Watches,Silver,High,Yes,25392,No
18-25,Ultra High,Other,Medium,Occasional,Real Estate,Gold,Low,No,29087,No
26-35,Low,Other,High,Frequent,Automobiles,Silver,High,Yes,45288,No
46+,Medium,Expat - Western,Medium,Frequent,Automobiles,Gold,Low,No,45308,No
26-35,Low,Expat - Arab,High,Rare,Fashion,Bold Colors,Low,Yes,23293,No
18-25,High,Expat - Arab,Medium,Rare,Fashion,White,Medium,Yes,11677,No
26-35,Ultra High,Expat - Western,High,Occasional,Fashion,Gold,Low,No,13803,No
18-25,Low,Other,Medium,Frequent,Jewelry,Gold,Low,Yes,47656,No
26-35,High,Expat - Indian,High,Rare,Automobiles,Silver,Medium,No,47002,No
18-25,Low,Other,Medium,Occasional,Fashion,Gold,Medium,Yes,2225,No
18-25,Ultra High,Other,Medium,Rare,Watches,Bold Colors,High,No,6774,No
18-25,High,Expat - Western,Medium,Frequent,Jewelry,Bold Colors,High,Yes,14043,No
46+,High,Expat - Arab,Medium,Rare,Real Estate,Bold Colors,Low,Yes,17163,Yes
26-35,Low,Other,Low,Frequent,Automobiles,Silver,High,Yes,3844,Yes
26-35,Ultra High,Expat - Arab,Low,Rare,Automobiles,White,High,No,8347,No
26-35,High,Emirati,Low,Frequent,Watches,Silver,Low,No,21804,No
18-25,Medium,Expat - Arab,High,Occasional,Real Estate,Bold Colors,Medium,No,37764,No
26-35,High,Expat - Indian,Medium,Frequent,Real Estate,Silver,Medium,Yes,28246,No
26-35,Low,Expat - Indian,Medium,Occasional,Jewelry,Bold Colors,Low,Yes,43458,No
18-25,High,Other,High,Frequent,Automobiles,Black,Low,Yes,2688,No
36-45,Low,Expat - Arab,Medium,Occasional,Fashion,Black,Low,Yes,48055,No
18-25,High,Other,Medium,Rare,Watches,Gold,Low,Yes,18251,Yes
26-35,Medium,Expat - Western,Low,Frequent,Watches,White,Low,No,13504,No
18-25,Low,Expat - Indian,High,Rare,Watches,Black,Low,No,40720,No
36-45,Low,Other,High,Occasional,Watches,Bold Colors,High,Yes,28584,No
18-25,Low,Expat - Western,High,Frequent,Fashion,Silver,High,Yes,45484,No
26-35,Medium,Other,Medium,Frequent,Fashion,Silver,High,No,49531,Yes
36-45,Medium,Expat - Arab,High,Rare,Jewelry,Gold,Medium,Yes,39852,No
46+,Medium,Expat - Arab,Low,Frequent,Automobiles,Silver,Low,Yes,14219,No
26-35,Low,Expat - Arab,Low,Frequent,Fashion,Black,Low,Yes,43972,No
36-45,Low,Expat - Arab,Low,Rare,Jewelry,Silver,High,Yes,25815,No
36-45,High,Emirati,Medium,Frequent,Real Estate,Black,Medium,No,49865,No
46+,Low,Expat - Western,Medium,Rare,Automobiles,Black,High,Yes,25623,No
18-25,Ultra High,Expat - Western,Medium,Rare,Fashion,White,Low,Yes,37817,No
18-25,High,Expat - Arab,Low,Rare,Real Estate,Gold,Low,Yes,4457,No
26-35,Medium,Emirati,Medium,Rare,Jewelry,Bold Colors,High,No,28855,No
46+,Medium,Expat - Arab,High,Rare,Fashion,Black,High,Yes,37258,No
18-25,High,Emirati,Medium,Occasional,Fashion,Gold,Low,Yes,16470,No
46+,Low,Expat - Arab,High,Occasional,Real Estate,Bold Colors,High,No,49957,No
18-25,Low,Expat - Indian,Medium,Rare,Fashion,Silver,Low,No,46930,Yes
36-45,Low,Expat - Indian,High,Occasional,Watches,Gold,High,No,19281,Yes
18-25,High,Other,Medium,Occasional,Fashion,Gold,Medium,No,12728,No
46+,Low,Expat - Arab,Medium,Frequent,Automobiles,Gold,Low,Yes,46680,No
36-45,Medium,Expat - Western,Medium,Rare,Real Estate,Silver,Medium,Yes,39723,No
36-45,Ultra High,Other,Medium,Occasional,Automobiles,Silver,High,Yes,11162,No
36-45,High,Expat - Indian,High,Frequent,Jewelry,Gold,Medium,Yes,30272,Yes
46+,Medium,Expat - Arab,Medium,Frequent,Automobiles,White,High,No,36488,No
26-35,Low,Other,Medium,Rare,Watches,Black,Medium,No,44341,No
26-35,High,Expat - Arab,High,Rare,Watches,Silver,Medium,No,12338,No
26-35,Medium,Expat - Indian,Medium,Frequent,Automobiles,White,Medium,Yes,23296,No
46+,Low,Other,Medium,Rare,Jewelry,Silver,Low,No,12675,Yes
36-45,Low,Expat - Indian,Medium,Rare,Fashion,Gold,Medium,No,25070,Yes
26-35,Ultra High,Emirati,Medium,Frequent,Watches,White,High,Yes,21080,No
46+,Medium,Expat - Indian,Medium,Frequent,Automobiles,Bold Colors,High,No,48139,No
26-35,High,Expat - Arab,Medium,Rare,Automobiles,Black,Low,Yes,14936,No
18-25,High,Expat - Western,High,Occasional,Automobiles,Black,Low,Yes,11019,Yes
26-35,Medium,Expat - Indian,Medium,Rare,Fashion,Silver,High,No,42182,No
26-35,Medium,Expat - Western,Medium,Occasional,Real Estate,Black,Medium,No,2746,No
36-45,Medium,Emirati,Medium,Frequent,Jewelry,Bold Colors,High,Yes,23768,No
46+,Medium,Other,High,Occasional,Real Estate,White,Low,Yes,9325,Yes
36-45,Medium,Other,High,Frequent,Jewelry,White,Low,No,45763,No
36-45,High,Expat - Western,Medium,Rare,Jewelry,Gold,High,No,5486,No
36-45,Medium,Other,High,Rare,Automobiles,White,Medium,No,17485,No
36-45,High,Expat - Indian,Medium,Frequent,Watches,Silver,Medium,Yes,15328,No
36-45,Medium,Expat - Western,Medium,Frequent,Automobiles,Bold Colors,Low,Yes,20112,No
26-35,Medium,Expat - Arab,Low,Frequent,Fashion,Gold,High,Yes,45001,No
36-45,Medium,Expat - Indian,Medium,Rare,Jewelry,Silver,High,Yes,33280,Yes
36-45,Medium,Expat - Indian,Medium,Rare,Watches,Silver,Low,Yes,27576,No
46+,High,Expat - Indian,High,Occasional,Jewelry,Silver,High,Yes,43528,Yes
18-25,Low,Expat - Arab,Medium,Frequent,Jewelry,Black,Low,Yes,16702,Yes
26-35,Medium,Emirati,High,Occasional,Automobiles,Silver,Medium,Yes,22320,No
26-35,Low,Other,Medium,Rare,Watches,Black,Medium,No,19437,No
26-35,Medium,Expat - Western,Medium,Occasional,Watches,White,High,Yes,1193,No
36-45,Medium,Emirati,Medium,Occasional,Jewelry,Black,Medium,Yes,26317,No
36-45,Medium,Expat - Western,Low,Rare,Watches,Silver,Medium,Yes,29482,No
36-45,Ultra High,Other,Medium,Rare,Watches,Bold Colors,Low,Yes,20343,No
46+,Medium,Expat - Arab,Low,Frequent,Automobiles,Bold Colors,Low,Yes,30144,No
18-25,High,Expat - Indian,Medium,Occasional,Real Estate,White,High,No,12612,No
36-45,Medium,Expat - Indian,Medium,Rare,Fashion,Silver,Low,No,20307,No
18-25,Medium,Expat - Arab,High,Rare,Real Estate,Black,High,Yes,20623,No
46+,Low,Emirati,Medium,Occasional,Watches,Bold Colors,High,Yes,21249,No
26-35,Low,Emirati,Low,Rare,Jewelry,Gold,Low,Yes,9229,No
36-45,Medium,Expat - Western,Medium,Frequent,Fashion,Silver,Medium,No,27274,No
18-25,Medium,Expat - Arab,High,Frequent,Fashion,Silver,Medium,Yes,38334,No
18-25,Low,Emirati,High,Occasional,Jewelry,Gold,Medium,Yes,7595,No
36-45,Low,Expat - Arab,Medium,Frequent,Fashion,Bold Colors,Medium,No,29602,No
26-35,Low,Other,Medium,Rare,Jewelry,Gold,High,No,39377,No
26-35,Ultra High,Expat - Indian,Low,Rare,Fashion,White,Medium,No,38876,No
26-35,Medium,Expat - Indian,High,Rare,Real Estate,Black,High,No,35551,No
46+,Medium,Expat - Indian,Medium,Rare,Fashion,Black,Low,No,43926,No
18-25,Low,Expat - Arab,Medium,Occasional,Automobiles,Bold Colors,Low,Yes,25678,No
18-25,Medium,Expat - Arab,Medium,Frequent,Jewelry,Gold,High,Yes,23214,No
18-25,Low,Expat - Western,Low,Frequent,Fashion,Silver,Medium,No,39599,No
46+,Low,Expat - Indian,High,Rare,Jewelry,Silver,High,No,33809,No
18-25,Medium,Expat - Western,Low,Occasional,Automobiles,Silver,Medium,No,44954,No
46+,Low,Expat - Indian,Medium,Rare,Fashion,White,Medium,Yes,28794,Yes
26-35,Low,Expat - Western,Medium,Rare,Fashion,White,High,Yes,23593,No
36-45,Low,Expat - Western,High,Occasional,Automobiles,Silver,High,Yes,29864,No
18-25,Low,Other,High,Occasional,Automobiles,Bold Colors,Medium,Yes,45329,No
18-25,Low,Expat - Western,Medium,Rare,Automobiles,White,High,Yes,43636,No
26-35,Medium,Expat - Arab,Medium,Frequent,Jewelry,White,Medium,No,4689,No
36-45,High,Expat - Western,High,Rare,Automobiles,Black,High,Yes,41363,Yes
46+,Medium,Expat - Indian,Low,Frequent,Jewelry,Black,Low,No,15687,No
36-45,Medium,Expat - Western,Medium,Frequent,Real Estate,Bold Colors,Medium,No,21381,No
26-35,Low,Emirati,Medium,Occasional,Fashion,White,Low,Yes,34093,No
26-35,Ultra High,Expat - Indian,High,Occasional,Fashion,White,High,Yes,24589,Yes
36-45,Medium,Emirati,Medium,Rare,Watches,Gold,Low,No,2120,No
46+,Low,Expat - Indian,High,Frequent,Real Estate,Bold Colors,High,No,17491,No
46+,Medium,Expat - Arab,Medium,Frequent,Automobiles,Bold Colors,Medium,No,44638,Yes
18-25,Low,Expat - Arab,Medium,Rare,Automobiles,Gold,High,No,40062,No
46+,Medium,Expat - Arab,Medium,Rare,Real Estate,Gold,High,No,6193,No
36-45,Medium,Emirati,Medium,Rare,Automobiles,Black,Medium,Yes,24608,No
26-35,High,Other,Medium,Occasional,Watches,Bold Colors,High,No,16213,No
18-25,Medium,Expat - Indian,Medium,Rare,Jewelry,Bold Colors,Medium,No,49379,No
18-25,High,Expat - Arab,Low,Rare,Fashion,Gold,High,No,15230,Yes
26-35,Ultra High,Expat - Indian,High,Frequent,Real Estate,Silver,Medium,Yes,19423,Yes
46+,Low,Emirati,High,Rare,Fashion,Silver,Low,No,18187,No
26-35,Low,Other,Medium,Frequent,Jewelry,Black,High,Yes,11040,No
